status,name,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,btreemap_insert_blob_32_1024_v2::node_load_v2,290801162,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_32_1024_v2::node_save_v2,249088762,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_4_1024,585582628,0,0.00%,51,0,0.00%,123,0,0.00%
,btreemap_insert_blob_4_1024::node_load_v1,127809591,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_4_1024::node_save_v1,196112664,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_4_1024_v2,682114531,0,0.00%,51,0,0.00%,92,0,0.00%
,btreemap_insert_blob_4_1024_v2::node_load_v2,201146487,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_4_1024_v2::node_save_v2,219884454,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_512_1024,3122211197,0,0.00%,52,0,0.00%,351,0,0.00%
,btreemap_insert_blob_512_1024::node_load_v1,2296299576,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_512_1024::node_save_v1,250121434,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_512_1024_v2,3210600526,0,0.00%,52,0,0.00%,263,0,0.00%
,btreemap_insert_blob_512_1024_v2::node_load_v2,2364644400,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_512_1024_v2::node_save_v2,275072715,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_64_1024,1022852634,0,0.00%,51,0,0.00%,245,0,0.00%
,btreemap_insert_blob_64_1024::node_load_v1,435511122,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_64_1024::node_save_v1,225085631,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_64_1024_v2,1125614294,0,0.00%,51,0,0.00%,183,0,0.00%
,btreemap_insert_blob_64_1024_v2::node_load_v2,513947108,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_64_1024_v2::node_save_v2,251566709,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_1024,704006505,0,0.00%,52,0,0.00%,183,0,0.00%
,btreemap_insert_blob_8_1024::node_load_v1,155477106,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_1024::node_save_v1,209560046,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_1024_v2,807160223,0,0.00%,52,0,0.00%,138,0,0.00%
,btreemap_insert_blob_8_1024_v2::node_load_v2,233928506,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_1024_v2::node_save_v2,234958833,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_u64,410991735,0,0.00%,51,0,0.00%,6,0,0.00%
,btreemap_insert_blob_8_u64::node_load_v1,154453716,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_u64::node_save_v1,102191868,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_u64_v2,521237550,0,0.00%,51,0,0.00%,4,0,0.00%
,btreemap_insert_blob_8_u64_v2::node_load_v2,235965110,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_8_u64_v2::node_save_v2,129412997,0,0.00%,0,0,0.00%,1,0,0.00%
,btreemap_insert_u64_blob_8,422863534,0,0.00%,51,0,0.00%,7,0,0.00%
,btreemap_insert_u64_blob_8::node_load_v1,138793368,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_u64_blob_8::node_save_v1,136281331,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_u64_blob_8_v2,504104865,0,0.00%,51,0,0.00%,5,0,0.00%
,btreemap_insert_u64_blob_8_v2::node_load_v2,202441777,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_u64_blob_8_v2::node_save_v2,154449722,0,0.00%,0,0,0.00%,1,0,0.00%
,btreemap_insert_u64_u64,428400357,0,0.00%,52,0,0.00%,7,0,0.00%
,btreemap_insert_u64_u64::node_load_v1,138230543,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_u64_u64::node_save_v1,139318920,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_u64_u64_v2,512590688,0,0.00%,52,0,0.00%,6,0,0.00%
,btreemap_insert_u64_u64_v2::node_load_v2,203217101,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_u64_u64_v2::node_save_v2,158393148,0,0.00%,0,0,0.00%,1,0,0.00%
,btreemap_insert_u64_u64_v2_mem_manager,642171318,0,0.00%,52,0,0.00%,0,0,0.00%
,btreemap_insert_u64_u64_v2_mem_manager::node_load_v2,272676890,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_u64_u64_v2_mem_manager::node_save_v2,211915857,0,0.00%,0,0,0.00%,0,0,0.00%
